"","v","num","s","s.u","u","gc_name"
"286","cg_",286,"(2.75,3]","(2.25,2.5]",0.3,"cg_286"
"287","cg_",287,"(2.75,3]","(2.5,2.75]",0.3,"cg_287"
"288","cg_",288,"(2.75,3]","(2.75,3]",0.3,"cg_288"
"289","cg_",289,"[0,0.25]","[0,0.25]",0.45,"cg_289"
"290","cg_",290,"[0,0.25]","(0.25,0.5]",0.45,"cg_290"
"291","cg_",291,"[0,0.25]","(0.5,0.75]",0.45,"cg_291"
"292","cg_",292,"[0,0.25]","(0.75,1]",0.45,"cg_292"
"293","cg_",293,"[0,0.25]","(1,1.25]",0.45,"cg_293"
"294","cg_",294,"[0,0.25]","(1.25,1.5]",0.45,"cg_294"
"295","cg_",295,"[0,0.25]","(1.5,1.75]",0.45,"cg_295"
"296","cg_",296,"[0,0.25]","(1.75,2]",0.45,"cg_296"
"297","cg_",297,"[0,0.25]","(2,2.25]",0.45,"cg_297"
"298","cg_",298,"[0,0.25]","(2.25,2.5]",0.45,"cg_298"
"299","cg_",299,"[0,0.25]","(2.5,2.75]",0.45,"cg_299"
"300","cg_",300,"[0,0.25]","(2.75,3]",0.45,"cg_300"
"301","cg_",301,"(0.25,0.5]","[0,0.25]",0.45,"cg_301"
"302","cg_",302,"(0.25,0.5]","(0.25,0.5]",0.45,"cg_302"
"303","cg_",303,"(0.25,0.5]","(0.5,0.75]",0.45,"cg_303"
"304","cg_",304,"(0.25,0.5]","(0.75,1]",0.45,"cg_304"
"305","cg_",305,"(0.25,0.5]","(1,1.25]",0.45,"cg_305"
"306","cg_",306,"(0.25,0.5]","(1.25,1.5]",0.45,"cg_306"
"307","cg_",307,"(0.25,0.5]","(1.5,1.75]",0.45,"cg_307"
"308","cg_",308,"(0.25,0.5]","(1.75,2]",0.45,"cg_308"
"309","cg_",309,"(0.25,0.5]","(2,2.25]",0.45,"cg_309"
"310","cg_",310,"(0.25,0.5]","(2.25,2.5]",0.45,"cg_310"
"311","cg_",311,"(0.25,0.5]","(2.5,2.75]",0.45,"cg_311"
"312","cg_",312,"(0.25,0.5]","(2.75,3]",0.45,"cg_312"
"313","cg_",313,"(0.5,0.75]","[0,0.25]",0.45,"cg_313"
"314","cg_",314,"(0.5,0.75]","(0.25,0.5]",0.45,"cg_314"
"315","cg_",315,"(0.5,0.75]","(0.5,0.75]",0.45,"cg_315"
"316","cg_",316,"(0.5,0.75]","(0.75,1]",0.45,"cg_316"
"317","cg_",317,"(0.5,0.75]","(1,1.25]",0.45,"cg_317"
"318","cg_",318,"(0.5,0.75]","(1.25,1.5]",0.45,"cg_318"
"319","cg_",319,"(0.5,0.75]","(1.5,1.75]",0.45,"cg_319"
"320","cg_",320,"(0.5,0.75]","(1.75,2]",0.45,"cg_320"
"321","cg_",321,"(0.5,0.75]","(2,2.25]",0.45,"cg_321"
"322","cg_",322,"(0.5,0.75]","(2.25,2.5]",0.45,"cg_322"
"323","cg_",323,"(0.5,0.75]","(2.5,2.75]",0.45,"cg_323"
"324","cg_",324,"(0.5,0.75]","(2.75,3]",0.45,"cg_324"
"325","cg_",325,"(0.75,1]","[0,0.25]",0.45,"cg_325"
"326","cg_",326,"(0.75,1]","(0.25,0.5]",0.45,"cg_326"
"327","cg_",327,"(0.75,1]","(0.5,0.75]",0.45,"cg_327"
"328","cg_",328,"(0.75,1]","(0.75,1]",0.45,"cg_328"
"329","cg_",329,"(0.75,1]","(1,1.25]",0.45,"cg_329"
"330","cg_",330,"(0.75,1]","(1.25,1.5]",0.45,"cg_330"
"331","cg_",331,"(0.75,1]","(1.5,1.75]",0.45,"cg_331"
"332","cg_",332,"(0.75,1]","(1.75,2]",0.45,"cg_332"
"333","cg_",333,"(0.75,1]","(2,2.25]",0.45,"cg_333"
"334","cg_",334,"(0.75,1]","(2.25,2.5]",0.45,"cg_334"
"335","cg_",335,"(0.75,1]","(2.5,2.75]",0.45,"cg_335"
"336","cg_",336,"(0.75,1]","(2.75,3]",0.45,"cg_336"
"337","cg_",337,"(1,1.25]","[0,0.25]",0.45,"cg_337"
"338","cg_",338,"(1,1.25]","(0.25,0.5]",0.45,"cg_338"
"339","cg_",339,"(1,1.25]","(0.5,0.75]",0.45,"cg_339"
"340","cg_",340,"(1,1.25]","(0.75,1]",0.45,"cg_340"
"341","cg_",341,"(1,1.25]","(1,1.25]",0.45,"cg_341"
"342","cg_",342,"(1,1.25]","(1.25,1.5]",0.45,"cg_342"
"343","cg_",343,"(1,1.25]","(1.5,1.75]",0.45,"cg_343"
"344","cg_",344,"(1,1.25]","(1.75,2]",0.45,"cg_344"
"345","cg_",345,"(1,1.25]","(2,2.25]",0.45,"cg_345"
"346","cg_",346,"(1,1.25]","(2.25,2.5]",0.45,"cg_346"
"347","cg_",347,"(1,1.25]","(2.5,2.75]",0.45,"cg_347"
"348","cg_",348,"(1,1.25]","(2.75,3]",0.45,"cg_348"
"349","cg_",349,"(1.25,1.5]","[0,0.25]",0.45,"cg_349"
"350","cg_",350,"(1.25,1.5]","(0.25,0.5]",0.45,"cg_350"
"351","cg_",351,"(1.25,1.5]","(0.5,0.75]",0.45,"cg_351"
"352","cg_",352,"(1.25,1.5]","(0.75,1]",0.45,"cg_352"
"353","cg_",353,"(1.25,1.5]","(1,1.25]",0.45,"cg_353"
"354","cg_",354,"(1.25,1.5]","(1.25,1.5]",0.45,"cg_354"
"355","cg_",355,"(1.25,1.5]","(1.5,1.75]",0.45,"cg_355"
"356","cg_",356,"(1.25,1.5]","(1.75,2]",0.45,"cg_356"
"357","cg_",357,"(1.25,1.5]","(2,2.25]",0.45,"cg_357"
